Player,height_cm,weight_kg,weak_foot,X90s,Gls,Ast,G.A,G.PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG.xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G.A_90,G.PK_90,G.A.PK_90,xG_90,xAG_90,xG.xAG_90,npxG_90,npxG.xAG_90,main_position,player_positions,pos_LB,pos_CB,pos_RB,pos_RWB,pos_GK,pos_LM,pos_CM,pos_CAM,pos_CDM,pos_RW,pos_RM,pos_ST,pos_LW,pos_LWB,pos_CF
Orel Mangala,178,80,3,17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,13,45,14,0.06,0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Oscar Bobb,174,73,3,3.4,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.6,13,25,38,0.3,0.3,0.6,0.3,0.6,0.41,0.37,0.78,0.41,0.78,RW,RW,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pablo Fornals,178,67,3,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,4,29,27,0,0,0,0,0,0.07,0.07,0.13,0.07,0.13,LM,"LM, CAM",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Pablo Sarabia,174,70,4,19.4,4,7,11,2,2,2,5,0,5.5,3.9,5.9,9.8,41,109,137,0.21,0.36,0.57,0.1,0.46,0.28,0.3,0.59,0.2,0.5,RM,"RM, CAM",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Pape Matar Sarr,184,70,3,23,3,3,6,3,0,0,9,0,3.4,3.4,2.2,5.7,43,150,90,0.13,0.13,0.26,0.13,0.26,0.15,0.1,0.25,0.15,0.25,CM,"CM, CDM",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pascal Groß,181,78,4,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4,CM,"CM, CDM, RB",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Pau Torres,191,80,3,27.4,2,0,2,2,0,0,1,0,1,1,0.4,1.4,42,128,16,0.07,0,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05,CB,CB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Dummett,183,82,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,CB,"CB, LB",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Neto,172,62,4,16.8,2,9,11,2,0,0,4,0,3.5,3.5,4.4,7.9,98,54,149,0.12,0.53,0.65,0.12,0.65,0.21,0.26,0.47,0.21,0.47,LM,"LM, RW, ST",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Pedro Porro,173,69,3,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.2,0.29,0.09,0.29,0.09,0.21,0.3,0.09,0.3,RB,"RB, RWB",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Pervis Estupiñán,175,78,3,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,LB,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
